id,identifier_KR,identifier,species_id,height,weight,base_experience,order,is_default,max_cp,attack,defense,stamina,evolution,type0,type1
42,골뱃,golbat,42,16,550,159,49,1,1830,161,153,150,169,4,3
43,뚜벅쵸,oddish,43,5,54,64,51,1,1069,131,116,90,44,12,4
44,냄새꼬,gloom,44,8,86,138,52,1,1512,153,139,120,45,12,4
45,라플레시아,vileplume,45,12,186,216,53,1,2367,202,170,150,0,12,4
46,파라스,paras,46,3,54,57,55,1,836,121,99,70,47,7,12
47,파라섹트,parasect,47,10,295,142,56,1,1657,165,146,120,0,7,12
48,콘팡,venonat,48,10,300,61,57,1,902,100,102,120,49,7,4
49,도나리,venomoth,49,15,125,158,58,1,1937,179,150,140,0,7,4
50,디그다,diglett,50,2,8,53,59,1,465,109,88,20,51,5,0
51,닥트리오,dugtrio,51,7,333,142,60,1,1333,167,147,70,0,5,0
52,나옹,meowth,52,4,42,58,61,1,638,92,81,80,53,1,0
53,페르시온,persian,53,10,320,154,62,1,1539,150,139,130,0,1,0
54,고라파덕,psyduck,54,8,196,64,63,1,966,122,96,100,55,11,0
55,골덕,golduck,55,17,766,175,64,1,2270,191,163,160,0,11,0
56,망키,mankey,56,5,280,61,65,1,1002,148,87,80,57,2,0
57,성원숭,primeape,57,10,320,159,66,1,2105,207,144,130,0,2,0
58,가디,growlithe,58,7,190,70,67,1,1110,136,96,110,59,10,0
59,윈디,arcanine,59,19,1550,194,68,1,2839,227,166,180,0,10,0
60,발챙이,poliwag,60,6,124,60,69,1,695,101,82,80,61,11,0
61,슈륙챙이,poliwhirl,61,10,200,135,70,1,1313,130,130,130,62,11,0
62,강챙이,poliwrath,62,13,540,225,71,1,2441,182,187,180,0,11,2
63,캐이시,abra,63,9,195,62,73,1,1148,195,103,50,64,14,0
64,윤겔라,kadabra,64,13,565,140,74,1,1859,232,138,80,65,14,0
65,후딘,alakazam,65,15,480,221,75,1,2887,271,194,110,0,14,0
66,알통몬,machop,66,8,195,61,77,1,1199,137,88,140,67,2,0
67,근육몬,machoke,67,15,705,142,78,1,1910,177,130,160,68,2,0
68,괴력몬,machamp,68,16,1300,227,79,1,2889,234,162,180,0,2,0
69,모다피,bellsprout,69,7,40,60,80,1,916,139,64,100,70,12,4
70,우츠동,weepinbell,70,10,64,137,81,1,1475,172,95,130,71,12,4
71,우츠보트,victreebel,71,17,155,216,82,1,2268,207,138,160,0,12,4
72,왕눈해,tentacool,72,9,455,67,83,1,956,97,182,80,73,11,4
73,독파리,tentacruel,73,16,550,180,84,1,2374,166,237,160,0,11,4
74,꼬마돌,geodude,74,4,200,60,85,1,1193,132,163,80,75,6,5
75,데구리,graveler,75,10,1050,137,86,1,1815,164,196,110,76,6,5
76,딱구리,golem,76,14,3000,218,87,1,2916,211,229,160,0,6,5
77,포니타,ponyta,77,10,300,82,88,1,1502,170,132,100,78,10,0
78,날쌩마,rapidash,78,17,950,175,89,1,2252,207,167,130,0,10,0
79,야돈,slowpoke,79,12,360,63,90,1,1204,109,109,180,80,11,14
80,야도란,slowbro,80,16,785,172,91,1,2482,177,194,190,81,11,14
81,코일,magnemite,81,3,60,65,93,1,1083,165,128,50,82,13,9
82,레어코일,magneton,82,10,600,163,94,1,2237,223,182,100,462,13,9
83,파오리,farfetchd,83,8,150,123,96,1,1092,124,118,104,0,1,3
84,두두,doduo,84,14,392,62,97,1,1011,158,88,70,85,1,3
85,두트리오,dodrio,85,18,852,161,98,1,2138,218,145,120,0,1,3
86,쥬쥬,seel,86,11,900,65,99,1,899,85,128,130,87,11,0
87,쥬레곤,dewgong,87,17,1200,166,100,1,1894,139,184,180,0,11,15
88,질퍽이,grimer,88,9,300,65,101,1,1269,135,90,160,89,4,0
89,질뻐기,muk,89,12,300,175,102,1,2709,190,184,210,0,4,0
90,셀러,shellder,90,3,40,61,103,1,958,116,168,60,91,11,0
91,파르셀,cloyster,91,15,1325,184,104,1,2475,186,323,100,0,11,15
92,고오스,gastly,92,13,1,62,105,1,1002,186,70,60,93,8,4
93,고우스트,haunter,93,16,1,142,106,1,1716,223,112,90,94,8,4
94,팬텀,gengar,94,15,405,225,107,1,2619,261,156,120,0,8,4
95,롱스톤,onix,95,88,2100,77,109,1,1002,85,288,70,208,6,5
96,슬리프,drowzee,96,10,324,66,111,1,992,89,158,120,97,14,0
97,슬리퍼,hypno,97,16,756,169,112,1,2048,144,215,170,0,14,0
98,크랩,krabby,98,4,65,65,113,1,1386,181,156,60,99,11,0
99,킹크랩,kingler,99,13,600,166,114,1,2694,240,214,110,0,11,0
100,찌리리공,voltorb,100,5,104,66,115,1,857,109,114,80,101,13,0
101,붐볼,electrode,101,12,666,168,116,1,1900,173,179,120,0,13,0
102,아라리,exeggcute,102,4,25,65,117,1,1102,107,140,120,103,12,14
103,나시,exeggutor,103,20,1200,182,118,1,2916,233,158,190,0,12,14
104,탕구리,cubone,104,4,65,64,119,1,943,90,165,100,105,5,0
105,텅구리,marowak,105,10,450,149,120,1,1691,144,200,120,0,5,0
106,시라소몬,hitmonlee,106,15,498,159,122,1,2406,224,211,100,107,2,0
107,홍수몬,hitmonchan,107,14,502,159,123,1,2098,193,212,100,237,2,0
108,내루미,lickitung,108,12,655,77,125,1,1322,108,137,180,463,1,0
109,또가스,koffing,109,6,10,68,127,1,1091,119,164,80,110,4,0
110,또도가스,weezing,110,12,95,172,128,1,2183,174,221,130,0,4,0
111,뿔카노,rhyhorn,111,10,1150,69,129,1,1679,140,157,160,112,5,6
112,코뿌리,rhydon,112,19,1200,170,130,1,3300,222,206,210,464,5,6
113,럭키,chansey,113,11,346,395,133,1,1469,60,176,500,242,1,0
114,덩쿠리,tangela,114,10,350,87,135,1,2208,183,205,130,465,12,0
115,캥카,kangaskhan,115,22,800,172,137,1,2463,181,165,210,0,1,0
116,쏘드라,horsea,116,4,80,59,139,1,921,129,125,60,117,11,0
117,시드라,seadra,117,12,250,154,140,1,1979,187,182,110,230,11,0
118,콘치,goldeen,118,6,150,64,142,1,1006,123,115,90,119,11,0
119,왕콘치,seaking,119,13,390,158,143,1,2040,175,154,160,0,11,0
120,별가사리,staryu,120,8,345,68,144,1,926,137,112,60,121,11,0
121,아쿠스타,starmie,121,11,800,182,145,1,2303,210,184,120,0,11,14
122,마임맨,mr-mime,122,13,545,161,147,1,1984,192,233,80,0,14,18
123,스라크,scyther,123,15,560,100,148,1,2464,218,170,140,212,7,3
124,루주라,jynx,124,14,406,159,152,1,2512,223,182,130,0,15,14
125,에레브,electabuzz,125,11,300,172,154,1,2196,198,173,130,466,13,0
126,마그마,magmar,126,13,445,173,157,1,2254,206,169,130,467,10,0
127,쁘사이저,pinsir,127,15,550,175,159,1,2770,238,197,130,0,7,0
128,켄타로스,tauros,128,14,884,172,161,1,2488,198,197,150,0,1,0
129,잉어킹,magikarp,129,9,100,40,162,1,220,29,102,40,130,11,0
130,갸라도스,gyarados,130,65,2350,189,163,1,3281,237,197,190,0,11,3
131,라프라스,lapras,131,25,2200,187,165,1,2980,186,190,260,0,11,15
132,메타몽,ditto,132,3,40,101,166,1,718,91,91,96,0,1,0
133,이브이,eevee,133,3,65,65,167,1,969,104,121,110,134,1,0
134,샤미드,vaporeon,134,10,290,184,168,1,3157,205,177,260,0,11,0
135,쥬피썬더,jolteon,135,8,245,184,169,1,2730,232,201,130,0,13,0
136,부스터,flareon,136,9,250,184,170,1,2904,246,204,130,0,10,0
137,폴리곤,porygon,137,8,365,79,176,1,1567,153,139,130,233,1,0
138,암나이트,omanyte,138,4,75,71,179,1,1345,155,174,70,139,6,11
139,암스타,omastar,139,10,350,173,180,1,2685,207,227,140,0,6,11
140,투구,kabuto,140,5,115,71,181,1,1172,148,162,60,141,6,11
141,투구푸스,kabutops,141,13,405,173,182,1,2517,220,203,120,0,6,11
142,프테라,aerodactyl,142,18,590,180,183,1,2608,221,164,160,0,6,3
143,잠만보,snorlax,143,21,4600,189,186,1,3355,190,190,320,0,1,0
144,프리져,articuno,144,17,554,261,187,1,2933,192,249,180,0,15,3
145,썬더,zapdos,145,16,526,261,188,1,3330,253,188,180,0,13,3
146,파이어,moltres,146,20,600,261,189,1,3272,251,184,180,0,10,3
147,미뇽,dratini,147,18,33,60,190,1,860,119,94,82,148,16,0
148,신뇽,dragonair,148,40,165,147,191,1,1609,163,138,122,149,16,0
149,망나뇽,dragonite,149,22,2100,270,192,1,3581,263,201,182,0,16,3
150,뮤츠,mewtwo,150,20,1220,306,193,1,4760,330,200,212,0,14,0
151,뮤,mew,151,4,40,270,196,1,3083,210,209,200,0,14,0
152,치코리타,chikorita,152,9,64,64,197,1,801,92,122,90,0,0,0
153,베이리프,bayleef,153,12,158,142,198,1,1296,122,155,120,0,0,0
154,메가니움,meganium,154,18,1005,236,199,1,2227,168,202,160,0,0,0
155,브케인,cyndaquil,155,5,79,62,200,1,831,116,96,78,0,0,0
156,마그케인,quilava,156,9,190,142,201,1,1484,158,129,116,0,0,0
157,블레이범,typhlosion,157,17,795,240,202,1,2686,223,176,156,0,0,0
158,리아코,totodile,158,6,95,63,203,1,1011,117,116,100,0,0,0
159,엘리게이,croconaw,159,11,250,142,204,1,1598,150,151,130,0,0,0
160,장크로다일,feraligatr,160,23,888,239,205,1,2721,205,197,170,0,0,0
161,꼬리선,sentret,161,8,60,43,206,1,519,79,77,70,0,0,0
162,다꼬리,furret,162,18,325,145,207,1,1667,148,130,170,0,0,0
163,부우부,hoothoot,163,7,212,52,208,1,640,67,101,120,0,0,0
164,야부엉,noctowl,164,16,408,155,209,1,2040,145,179,200,0,0,0
165,레디바,ledyba,165,10,108,53,210,1,663,72,142,80,0,0,0
166,레디안,ledian,166,14,356,137,211,1,1275,107,209,110,0,0,0
167,페이검,spinarak,167,5,85,50,212,1,685,105,73,80,0,0,0
168,아리아도스,ariados,168,11,335,137,213,1,1636,161,128,140,0,0,0
169,크로뱃,crobat,169,18,750,241,50,1,2466,194,178,170,0,0,0
170,초라기,chinchou,170,5,120,66,214,1,1067,106,106,150,0,0,0
171,랜턴,lanturn,171,12,225,161,215,1,2077,146,146,250,0,0,0
172,피츄,pichu,172,3,20,41,29,1,376,77,63,40,0,0,0
173,삐,cleffa,173,3,30,44,40,1,620,75,91,100,0,0,0
174,푸푸린,igglybuff,174,3,10,42,45,1,512,69,34,180,0,0,0
175,토게피,togepi,175,3,15,49,216,1,540,67,116,70,0,0,0
176,토게틱,togetic,176,6,32,142,217,1,1543,139,191,110,0,0,0
177,네이티,natu,177,2,20,64,219,1,925,134,89,80,0,0,0
178,네이티오,xatu,178,15,150,165,220,1,1975,192,146,130,0,0,0
179,메리프,mareep,179,6,78,56,221,1,887,114,82,110,0,0,0
180,보송송,flaaffy,180,8,133,128,222,1,1402,145,112,140,0,0,0
181,전룡,ampharos,181,14,615,225,223,1,2695,211,172,180,0,0,0
182,아르코,bellossom,182,4,58,216,54,1,2108,169,189,150,0,0,0
183,마릴,marill,183,4,85,88,226,1,420,37,93,140,0,0,0
184,마릴리,azumarill,184,8,285,185,227,1,1503,112,152,200,0,0,0
185,꼬지모,sudowoodo,185,12,380,144,229,1,2065,167,198,140,0,0,0
186,왕구리,politoed,186,11,339,225,72,1,2371,174,192,180,0,0,0
187,통통코,hoppip,187,4,5,50,230,1,508,67,101,70,0,0,0
188,두코,skiploom,188,6,10,119,231,1,882,91,127,110,0,0,0
189,솜솜코,jumpluff,189,8,30,203,232,1,1553,118,197,150,0,0,0
190,에이팜,aipom,190,8,115,72,233,1,1188,136,112,110,0,0,0
191,해너츠,sunkern,191,3,18,36,235,1,316,55,55,60,0,0,0
192,해루미,sunflora,192,8,85,149,236,1,2048,185,148,150,0,0,0
193,왕자리,yanma,193,12,380,78,237,1,1326,154,94,130,0,0,0
194,우파,wooper,194,4,85,42,239,1,596,75,75,110,0,0,0
195,누오,quagsire,195,14,750,151,240,1,1929,152,152,190,0,0,0
196,에브이,espeon,196,9,265,184,171,1,3000,261,194,130,0,0,0
197,블래키,umbreon,197,10,270,184,172,1,2052,126,250,190,0,0,0
198,니로우,murkrow,198,5,21,81,241,1,1392,175,87,120,0,0,0
199,야도킹,slowking,199,20,795,172,92,1,2482,177,194,190,0,0,0
200,무우마,misdreavus,200,7,10,87,243,1,1781,167,167,120,0,0,0
201,안농,unown,201,5,50,118,245,1,1022,136,91,96,0,0,0
202,마자용,wobbuffet,202,13,285,142,247,1,1024,60,106,380,0,0,0
203,키링키,girafarig,203,15,415,159,248,1,1863,182,133,140,0,0,0
204,피콘,pineco,204,6,72,58,249,1,1045,108,146,100,0,0,0
205,쏘콘,forretress,205,12,1258,163,250,1,2263,161,242,150,0,0,0
206,노고치,dunsparce,206,15,140,145,251,1,1615,131,131,200,0,0,0
207,글라이거,gligar,207,11,648,86,252,1,1758,143,204,130,0,0,0
208,강철톤,steelix,208,92,4000,179,110,1,2439,148,333,150,0,0,0
209,블루,snubbull,209,6,78,60,254,1,1124,137,89,120,0,0,0
210,그랑블루,granbull,210,14,487,158,255,1,2440,212,137,180,0,0,0
211,침바루,qwilfish,211,5,39,86,256,1,1910,184,148,130,0,0,0
212,핫삼,scizor,212,18,1180,175,149,1,2801,236,191,140,0,0,0
213,단단지,shuckle,213,6,205,177,257,1,300,17,396,40,0,0,0
214,헤라크로스,heracross,214,15,540,175,258,1,2938,234,189,160,0,0,0
215,포푸니,sneasel,215,9,280,86,260,1,1868,189,157,110,0,0,0
216,깜지곰,teddiursa,216,6,88,66,262,1,1184,142,93,120,0,0,0
217,링곰,ursaring,217,18,1258,175,263,1,2760,236,144,180,0,0,0
218,마그마그,slugma,218,7,350,50,264,1,750,118,71,80,0,0,0
219,마그카르고,magcargo,219,8,550,144,265,1,1543,139,209,100,0,0,0
220,꾸꾸리,swinub,220,4,65,50,266,1,663,90,74,100,0,0,0
221,메꾸리,piloswine,221,11,558,158,267,1,2284,181,147,200,0,0,0
222,코산호,corsola,222,6,50,133,269,1,1214,118,156,110,0,0,0
223,총어,remoraid,223,6,120,60,270,1,749,127,69,70,0,0,0
224,대포무노,octillery,224,9,285,168,271,1,2124,197,141,150,0,0,0
225,딜리버드,delibird,225,9,160,116,272,1,937,128,90,90,0,0,0
226,만타인,mantine,226,21,2200,163,274,1,2032,148,260,130,0,0,0
227,무장조,skarmory,227,17,505,163,275,1,2032,148,260,130,0,0,0
228,델빌,houndour,228,6,108,66,276,1,1110,152,93,90,0,0,0
229,헬가,houndoom,229,14,350,175,277,1,2529,224,159,150,0,0,0
230,킹드라,kingdra,230,18,1520,243,141,1,2424,194,194,150,0,0,0
231,코코리,phanpy,231,5,335,66,279,1,1175,107,107,180,0,0,0
232,코리갑,donphan,232,11,1200,175,280,1,3022,214,214,180,0,0,0
233,폴리곤2,porygon2,233,6,325,180,177,1,2546,198,183,170,0,0,0
234,노라키,stantler,234,14,712,163,281,1,1988,192,132,146,0,0,0
235,루브도,smeargle,235,12,580,88,282,1,389,40,88,110,0,0,0
236,배루키,tyrogue,236,7,210,42,121,1,404,64,64,70,0,0,0
237,카포에라,hitmontop,237,14,480,159,124,1,1905,173,214,100,0,0,0
238,뽀뽀라,smoochum,238,4,60,61,151,1,1230,153,116,90,0,0,0
239,에레키드,elekid,239,6,235,72,153,1,1073,135,110,90,0,0,0
240,마그비,magby,240,7,214,73,156,1,1178,151,108,90,0,0,0
241,밀탱크,miltank,241,12,755,172,283,1,2312,157,211,190,0,0,0
242,해피너스,blissey,242,15,468,608,134,1,3219,129,229,510,0,0,0
243,라이코,raikou,243,19,1780,261,284,1,3349,241,210,180,0,0,0
244,앤테이,entei,244,21,1980,261,285,1,3412,235,180,230,0,0,0
245,스이쿤,suicune,245,20,1870,261,286,1,2823,180,235,200,0,0,0
246,애버라스,larvitar,246,6,720,60,287,1,904,115,93,100,0,0,0
247,데기라스,pupitar,247,12,1520,144,288,1,1608,155,133,140,0,0,0
248,마기라스,tyranitar,248,20,2020,270,289,1,3670,251,212,200,0,0,0
249,루기아,lugia,249,52,2160,306,291,1,3598,193,323,212,0,0,0
250,칠색조,ho-oh,250,38,1990,306,292,1,4650,263,301,212,0,0,0
251,세레비,celebi,251,6,50,270,293,1,3090,210,210,200,0,0,0
