id	identifier_KR	identifier	species_id	height	weight	base_experience	order	is_default	max_cp	attack	defense	stamina	evolution	type0	type1	attack0	attack1	attack2	attack3	attack4	_id
66	___	machop	66	8	195	61	77	1	1199	137	88	140	67	2	0	99	100	31	84	10	66
67	___	machoke	67	15	705	142	78	1	1910	177	130	160	68	2	0	99	100	30	84	10	67
68	___	machamp	68	16	1300	227	79	1	2889	234	162	180	0	2	0	121	100	13	30	10	68
69	___	bellsprout	69	7	40	60	80	1	916	139	64	100	70	12	4	106	117	81	59	1	69
70	___	weepinbell	70	10	64	137	81	1	1475	172	95	130	71	12	4	107	117	81	59	34	70
71	____	victreebel	71	17	155	216	82	1	2268	207	138	160	0	12	4	107	117	80	59	79	71
72	___	tentacool	72	9	455	67	83	1	956	97	182	80	73	11	4	128	127	29	71	1	72
73	___	tentacruel	73	16	550	180	84	1	2374	166	237	160	0	11	4	117	116	73	60	20	73
74	___	geodude	74	4	200	60	85	1	1193	132	163	80	75	6	5	119	113	38	37	9	74
75	___	graveler	75	10	1050	137	86	1	1815	164	196	110	76	6	5	119	108	124	9	13	75
76	___	golem	76	14	3000	218	87	1	2916	211	229	160	0	6	5	119	108	13	36	12	76
77	___	ponyta	77	10	300	82	88	1	1502	170	132	100	78	10	0	113	101	67	6	69	77
78	___	rapidash	78	17	950	175	89	1	2252	207	167	130	0	10	0	99	101	69	23	21	78
79	__	slowpoke	79	12	360	63	90	1	1204	109	109	180	80	11	14	122	126	71	35	74	79
80	___	slowbro	80	16	785	172	91	1	2482	177	194	190	81	11	14	122	126	71	74	19	80
81	__	magnemite	81	3	60	65	93	1	1083	165	128	50	82	13	9	98	97	16	44	49	81
82	____	magneton	82	10	600	163	94	1	2237	223	182	100	462	13	9	98	97	16	44	17	82
83	___	farfetchd	83	8	150	123	96	1	1092	124	118	104	0	1	3	115	92	22	82	80	83
84	__	doduo	84	14	392	62	97	1	1011	158	88	70	85	1	3	103	111	18	22	85	84
85	____	dodrio	85	18	852	161	98	1	2138	218	145	120	0	1	3	129	130	18	22	82	85
86	__	seel	86	11	900	65	99	1	899	85	128	130	87	11	0	104	109	122	32	76	86
87	___	dewgong	87	17	1200	166	100	1	1894	139	184	180	0	11	15	110	109	76	32	20	87
88	___	grimer	88	9	300	65	101	1	1269	135	90	160	89	4	0	116	117	124	4	64	88
89	___	muk	89	12	300	175	102	1	2709	190	184	210	0	4	0	104	117	116	3	61	89
90	__	shellder	90	3	40	61	103	1	958	116	168	60	91	11	0	109	113	29	71	76	90
91	___	cloyster	91	15	1325	184	104	1	2475	186	323	100	0	11	15	110	109	76	73	20	91
92	___	gastly	92	13	1	62	105	1	1002	186	70	60	93	8	4	104	95	42	3	59	92
93	____	haunter	93	16	1	142	106	1	1716	223	112	90	94	8	4	105	104	43	3	59	93
94	__	gengar	94	15	405	225	107	1	2619	261	156	120	0	8	4	95	105	43	3	59	94
95	___	onix	95	88	2100	77	109	1	1002	85	288	70	208	6	5	119	113	38	13	45	95
96	___	drowzee	96	10	324	66	111	1	992	89	158	120	97	14	0	114	126	11	35	74	96
97	___	hypno	97	16	756	169	112	1	2048	144	215	170	0	14	0	125	126	35	74	43	97
98	__	krabby	98	4	65	65	113	1	1386	181	156	60	99	11	0	128	108	5	29	71	98
99	___	kingler	99	13	600	166	114	1	2694	240	214	110	0	11	0	120	108	5	66	71	99
100	____	voltorb	100	5	104	66	115	1	857	109	114	80	101	13	0	98	113	16	49	65	100
101	__	electrode	101	12	666	168	116	1	1900	173	179	120	0	13	0	98	113	16	49	2	101
102	___	exeggcute	102	4	25	65	117	1	1102	107	140	120	103	12	14	126	34	74	36		102
103	__	exeggutor	103	20	1200	182	118	1	2916	233	158	190	0	12	14	126	125	34	74	79	103
104	___	cubone	104	4	65	64	119	1	943	90	165	100	105	5	0	124	132	62	9	63	104
105	___	marowak	105	10	450	149	120	1	1691	144	200	120	0	5	0	124	132	62	9	12	105
106	____	hitmonlee	106	15	498	159	122	1	2406	224	211	100	107	2	0	99	132	87	31	13	106
107	___	hitmonchan	107	14	502	159	123	1	2098	193	212	100	237	2	0	121	132	78	14	47	107
108	___	lickitung	108	12	655	77	125	1	1322	108	137	180	463	1	0	104	125	2	87	81	108
109	___	koffing	109	6	10	68	127	1	1091	119	164	80	110	4	0	117	113	4	59	3	109
110	____	weezing	110	12	95	172	128	1	2183	174	221	130	0	4	0	117	113	59	43	3	110
111	___	rhyhorn	111	10	1150	69	129	1	1679	140	157	160	112	5	6	124	132	63	86	87	111
112	___	rhydon	112	19	1200	170	130	1	3300	222	206	210	464	5	6	124	132	7	12	13	112
113	__	chansey	113	11	346	395	133	1	1469	60	176	500	242	1	0	114	125	74	2	11	113
114	___	tangela	114	10	350	87	135	1	2208	183	205	130	465	12	0	106	81	59	79		114
115	__	kangaskhan	115	22	800	172	137	1	2463	181	165	210	0	1	0	124	99	84	12	87	115
116	___	horsea	116	4	80	59	139	1	921	129	125	60	117	11	0	122	128	29	51	17	116
117	___	seadra	117	12	250	154	140	1	1979	187	182	110	230	11	0	122	96	20	51	73	117
118	__	goldeen	118	6	150	64	142	1	1006	123	115	90	119	11	0	103	108	71	86	33	118
119	___	seaking	119	13	390	158	143	1	2040	175	154	160	0	11	0	103	116	76	23	7	119
120	____	staryu	120	8	345	68	144	1	926	137	112	60	121	11	0	111	113	122	85	29	120
121	____	starmie	121	11	800	182	145	1	2303	210	184	120	0	11	14	111	113	122	73	74	121
122	___	mr-mime	122	13	545	161	147	1	1984	192	233	80	0	14	18	126	125	11	74	43	122
123	___	scyther	123	15	560	100	148	1	2464	218	170	140	212	7	3	92	130	28	66	26	123
124	___	jynx	124	14	406	159	152	1	2512	223	182	130	0	15	14	110	114	54	14	35	124
125	___	electabuzz	125	11	300	172	154	1	2196	198	173	130	466	13	0	97	99	47	49	48	125
126	___	magmar	126	13	445	173	157	1	2254	206	169	130	467	10	0	101	100	69	78	8	126
127	____	pinsir	127	15	550	175	159	1	2770	238	197	130	0	7	0	132	92	5	66	30	127
128	____	tauros	128	14	884	172	161	1	2488	198	197	150	0	1	0	113	125	86	45	12	128
129	___	magikarp	129	9	100	40	162	1	220	29	102	40	130	11	0	123	91				129
130	____	gyarados	130	65	2350	189	163	1	3281	237	197	190	0	11	3	96	94	73	50	51	130
131	____	lapras	131	25	2200	187	165	1	2980	186	190	260	0	11	15	110	109	51	19	20	131
132	___	ditto	132	3	40	101	166	1	718	91	91	96	0	1	0	114	91				132
133	___	eevee	133	3	65	65	167	1	969	104	121	110	134	1	0	111	113	9	85	89	133
134	___	vaporeon	134	10	290	184	168	1	3157	205	177	260	0	11	0	122	71	73	33		134
135	____	jolteon	135	8	245	184	169	1	2730	232	201	130	0	13	0	97	16	49	48		135
136	___	flareon	136	9	250	184	170	1	2904	246	204	130	0	10	0	101	69	8	21		136
137	___	porygon	137	8	365	79	176	1	1567	153	139	130	233	1	0	111	113	11	65	16	137
138	____	omanyte	138	4	75	71	179	1	1345	155	174	70	139	6	11	122	108	36	70	37	138
139	___	omastar	139	10	350	173	180	1	2685	207	227	140	0	6	11	119	122	36	73	38	139
140	__	kabuto	140	5	115	71	181	1	1172	148	162	60	141	6	11	112	108	36	32	37	140
141	____	kabutops	141	13	405	173	182	1	2517	220	203	120	0	6	11	108	92	36	71	13	141
142	___	aerodactyl	142	18	590	180	183	1	2608	221	164	160	0	6	3	130	94	36	45	2	142
143	___	snorlax	143	21	4600	189	186	1	3355	190	190	320	0	1	0	125	104	89	2	12	143
144	___	articuno	144	17	554	261	187	1	2933	192	249	180	0	15	3	110	19	76	20		144
145	__	zapdos	145	16	526	261	188	1	3330	253	188	180	0	13	3	97	16	49	48		145
146	___	moltres	146	20	600	261	189	1	3272	251	184	180	0	10	3	101	69	21	8		146
147	__	dratini	147	18	33	60	190	1	860	119	94	82	148	16	0	96	1	50	33		147
148	__	dragonair	148	40	165	147	191	1	1609	163	138	122	149	16	0	96	1	33	51		148
149	___	dragonite	149	22	2100	270	192	1	3581	263	201	182	0	16	3	96	130	51	2	52	149
150	__	mewtwo	150	20	1220	306	193	1	4760	330	200	212	0	14	0	118	74	43	2		150
151	_	mew	151	4	40	270	196	1	3083	210	209	200	0	14	0	114	83	12	74	51	151
152	____	chikorita	152	9	64	64	197	1	801	92	122	90	0	0	0						
153	____	bayleef	153	12	158	142	198	1	1296	122	155	120	0	0	0						
154	____	meganium	154	18	1005	236	199	1	2227	168	202	160	0	0	0						
155	___	cyndaquil	155	5	79	62	200	1	831	116	96	78	0	0	0						
156	____	quilava	156	9	190	142	201	1	1484	158	129	116	0	0	0						
157	____	typhlosion	157	17	795	240	202	1	2686	223	176	156	0	0	0						
158	___	totodile	158	6	95	63	203	1	1011	117	116	100	0	0	0						
159	____	croconaw	159	11	250	142	204	1	1598	150	151	130	0	0	0						
160	_____	feraligatr	160	23	888	239	205	1	2721	205	197	170	0	0	0						
161	___	sentret	161	8	60	43	206	1	519	79	77	70	0	0	0						
162	___	furret	162	18	325	145	207	1	1667	148	130	170	0	0	0						
163	___	hoothoot	163	7	212	52	208	1	640	67	101	120	0	0	0						
164	___	noctowl	164	16	408	155	209	1	2040	145	179	200	0	0	0						
165	___	ledyba	165	10	108	53	210	1	663	72	142	80	0	0	0						
166	___	ledian	166	14	356	137	211	1	1275	107	209	110	0	0	0						
167	___	spinarak	167	5	85	50	212	1	685	105	73	80	0	0	0						
168	_____	ariados	168	11	335	137	213	1	1636	161	128	140	0	0	0						
169	___	crobat	169	18	750	241	50	1	2466	194	178	170	0	0	0						
170	___	chinchou	170	5	120	66	214	1	1067	106	106	150	0	0	0						
171	__	lanturn	171	12	225	161	215	1	2077	146	146	250	0	0	0						
172	__	pichu	172	3	20	41	29	1	376	77	63	40	0	0	0						
173	_	cleffa	173	3	30	44	40	1	620	75	91	100	0	0	0						
174	___	igglybuff	174	3	10	42	45	1	512	69	34	180	0	0	0						
175	___	togepi	175	3	15	49	216	1	540	67	116	70	0	0	0						
176	___	togetic	176	6	32	142	217	1	1543	139	191	110	0	0	0						
177	___	natu	177	2	20	64	219	1	925	134	89	80	0	0	0						
178	____	xatu	178	15	150	165	220	1	1975	192	146	130	0	0	0						
179	___	mareep	179	6	78	56	221	1	887	114	82	110	0	0	0						
180	___	flaaffy	180	8	133	128	222	1	1402	145	112	140	0	0	0						
181	__	ampharos	181	14	615	225	223	1	2695	211	172	180	0	0	0						
182	___	bellossom	182	4	58	216	54	1	2108	169	189	150	0	0	0						
183	__	marill	183	4	85	88	226	1	420	37	93	140	0	0	0						
184	___	azumarill	184	8	285	185	227	1	1503	112	152	200	0	0	0						
185	___	sudowoodo	185	12	380	144	229	1	2065	167	198	140	0	0	0						
186	___	politoed	186	11	339	225	72	1	2371	174	192	180	0	0	0						
187	___	hoppip	187	4	5	50	230	1	508	67	101	70	0	0	0						
188	__	skiploom	188	6	10	119	231	1	882	91	127	110	0	0	0						
189	___	jumpluff	189	8	30	203	232	1	1553	118	197	150	0	0	0						
190	___	aipom	190	8	115	72	233	1	1188	136	112	110	0	0	0						
191	___	sunkern	191	3	18	36	235	1	316	55	55	60	0	0	0						
192	___	sunflora	192	8	85	149	236	1	2048	185	148	150	0	0	0						
193	___	yanma	193	12	380	78	237	1	1326	154	94	130	0	0	0						
194	__	wooper	194	4	85	42	239	1	596	75	75	110	0	0	0						
195	__	quagsire	195	14	750	151	240	1	1929	152	152	190	0	0	0						
196	___	espeon	196	9	265	184	171	1	3000	261	194	130	0	0	0						
197	___	umbreon	197	10	270	184	172	1	2052	126	250	190	0	0	0						
198	___	murkrow	198	5	21	81	241	1	1392	175	87	120	0	0	0						
199	___	slowking	199	20	795	172	92	1	2482	177	194	190	0	0	0						
200	___	misdreavus	200	7	10	87	243	1	1781	167	167	120	0	0	0						
201	__	unown	201	5	50	118	245	1	1022	136	91	96	0	0	0						
202	___	wobbuffet	202	13	285	142	247	1	1024	60	106	380	0	0	0						
203	___	girafarig	203	15	415	159	248	1	1863	182	133	140	0	0	0						
204	__	pineco	204	6	72	58	249	1	1045	108	146	100	0	0	0						
205	__	forretress	205	12	1258	163	250	1	2263	161	242	150	0	0	0						
206	___	dunsparce	206	15	140	145	251	1	1615	131	131	200	0	0	0						
207	____	gligar	207	11	648	86	252	1	1758	143	204	130	0	0	0						
208	___	steelix	208	92	4000	179	110	1	2439	148	333	150	0	0	0						
209	__	snubbull	209	6	78	60	254	1	1124	137	89	120	0	0	0						
210	____	granbull	210	14	487	158	255	1	2440	212	137	180	0	0	0						
211	___	qwilfish	211	5	39	86	256	1	1910	184	148	130	0	0	0						
212	__	scizor	212	18	1180	175	149	1	2801	236	191	140	0	0	0						
213	___	shuckle	213	6	205	177	257	1	300	17	396	40	0	0	0						
214	_____	heracross	214	15	540	175	258	1	2938	234	189	160	0	0	0						
215	___	sneasel	215	9	280	86	260	1	1868	189	157	110	0	0	0						
216	___	teddiursa	216	6	88	66	262	1	1184	142	93	120	0	0	0						
217	__	ursaring	217	18	1258	175	263	1	2760	236	144	180	0	0	0						
218	____	slugma	218	7	350	50	264	1	750	118	71	80	0	0	0						
219	_____	magcargo	219	8	550	144	265	1	1543	139	209	100	0	0	0						
220	___	swinub	220	4	65	50	266	1	663	90	74	100	0	0	0						
221	___	piloswine	221	11	558	158	267	1	2284	181	147	200	0	0	0						
222	___	corsola	222	6	50	133	269	1	1214	118	156	110	0	0	0						
223	__	remoraid	223	6	120	60	270	1	749	127	69	70	0	0	0						
224	____	octillery	224	9	285	168	271	1	2124	197	141	150	0	0	0						
225	____	delibird	225	9	160	116	272	1	937	128	90	90	0	0	0						
226	___	mantine	226	21	2200	163	274	1	2032	148	260	130	0	0	0						
227	___	skarmory	227	17	505	163	275	1	2032	148	260	130	0	0	0						
228	__	houndour	228	6	108	66	276	1	1110	152	93	90	0	0	0						
229	__	houndoom	229	14	350	175	277	1	2529	224	159	150	0	0	0						
230	___	kingdra	230	18	1520	243	141	1	2424	194	194	150	0	0	0						
231	___	phanpy	231	5	335	66	279	1	1175	107	107	180	0	0	0						
232	___	donphan	232	11	1200	175	280	1	3022	214	214	180	0	0	0						
233	___2	porygon2	233	6	325	180	177	1	2546	198	183	170	0	0	0						
234	___	stantler	234	14	712	163	281	1	1988	192	132	146	0	0	0						
235	___	smeargle	235	12	580	88	282	1	389	40	88	110	0	0	0						
236	___	tyrogue	236	7	210	42	121	1	404	64	64	70	0	0	0						
237	____	hitmontop	237	14	480	159	124	1	1905	173	214	100	0	0	0						
238	___	smoochum	238	4	60	61	151	1	1230	153	116	90	0	0	0						
239	____	elekid	239	6	235	72	153	1	1073	135	110	90	0	0	0						
240	___	magby	240	7	214	73	156	1	1178	151	108	90	0	0	0						
241	___	miltank	241	12	755	172	283	1	2312	157	211	190	0	0	0						
242	____	blissey	242	15	468	608	134	1	3219	129	229	510	0	0	0						
243	___	raikou	243	19	1780	261	284	1	3349	241	210	180	0	0	0						
244	___	entei	244	21	1980	261	285	1	3412	235	180	230	0	0	0						
245	___	suicune	245	20	1870	261	286	1	2823	180	235	200	0	0	0						
246	____	larvitar	246	6	720	60	287	1	904	115	93	100	0	0	0						
247	____	pupitar	247	12	1520	144	288	1	1608	155	133	140	0	0	0						
248	____	tyranitar	248	20	2020	270	289	1	3670	251	212	200	0	0	0						
249	___	lugia	249	52	2160	306	291	1	3598	193	323	212	0	0	0						
250	___	ho-oh	250	38	1990	306	292	1	4650	263	301	212	0	0	0						
251	___	celebi	251	6	50	270	293	1	3090	210	210	200	0	0	0						
